;0
0;ABEV3.SA
1;AZUL4.SA
2;B3SA3.SA
3;BBAS3.SA
4;BBDC3.SA
5;BBDC4.SA
6;BBSE3.SA
7;BEEF3.SA
8;BPAC11.SA
9;BRAP4.SA
10;BRDT3.SA
11;BRFS3.SA
12;BRKM5.SA
13;BRML3.SA
14;BTOW3.SA
15;CCRO3.SA
16;CIEL3.SA
17;CMIG4.SA
18;COGN3.SA
19;CPFE3.SA
20;CRFB3.SA
21;CSAN3.SA
22;CSNA3.SA
23;CVCB3.SA
24;CYRE3.SA
25;ECOR3.SA
26;EGIE3.SA
27;ELET3.SA
28;ELET6.SA
29;EMBR3.SA
30;ENBR3.SA
31;ENGI11.SA
32;EQTL3.SA
33;FLRY3.SA
34;GGBR4.SA
35;GNDI3.SA
36;GOAU4.SA
37;GOLL4.SA
38;HAPV3.SA
39;HGTX3.SA
40;HYPE3.SA
41;IGTA3.SA
42;IRBR3.SA
43;ITSA4.SA
44;ITUB4.SA
45;JBSS3.SA
46;KLBN11.SA
47;LAME4.SA
48;LREN3.SA
49;MGLU3.SA
50;MRFG3.SA
51;MRVE3.SA
52;MULT3.SA
53;NTCO3.SA
54;PCAR3.SA
55;PETR3.SA
56;PETR4.SA
57;QUAL3.SA
58;RADL3.SA
59;RAIL3.SA
60;RENT3.SA
61;SANB11.SA
62;SBSP3.SA
63;SULA11.SA
64;SUZB3.SA
65;TAEE11.SA
66;TIMP3.SA
67;TOTS3.SA
68;UGPA3.SA
69;USIM5.SA
70;VALE3.SA
71;VIVT4.SA
72;VVAR3.SA
73;WEGE3.SA
74;YDUQ3.SA
